Code,Name,SubRegion,Continent,DataSource,Longitude,Latitude
ABW,Aruba,Caribbean,Americas,Simulated-ROW,-69.968338,12.52111
AFG,Afghanistan,Southern Asia,Asia,Simulated-ROW,67.709953,33.93911
AGO,Angola,Middle Africa,Africa,Simulated-ROW,17.873887,-11.202691999999999
ALB,Albania,Southern Europe,Europe,Simulated-ROW,20.168331,41.153332
ARE,United Arab Emirates,Western Asia,Asia,Simulated-ROW,53.847818000000004,23.424076
ARG,Argentina,South America,Americas,Simulated-ROW,-63.616671999999994,-38.416097
ARM,Armenia,Western Asia,Asia,Simulated-ROW,45.038189,40.069099
ATG,Antigua and Barbuda,Caribbean,Americas,Simulated-ROW,-61.796428000000006,17.060816
AUS,Australia,Australia and New Zealand,Oceania,Simulated-ROW,133.775136,-25.274398
AUT,Austria,Western Europe,Europe,Simulated-EU27&UK,14.550072,47.516231
AZE,Azerbaijan,Western Asia,Asia,Simulated-ROW,47.576927000000005,40.143105
BDI,Burundi,Africa,Africa,Simulated-ROW,29.918885999999997,-3.3730559999999996
BEL,Belgium,Western Europe,Europe,Simulated-EU27&UK,4.469936,50.503887
BEN,Benin,Africa,Africa,Simulated-ROW,2.315834,9.30769
BFA,Burkina Faso,Africa,Africa,Simulated-ROW,-1.561593,12.238333
BGR,Bulgaria,Eastern Europe,Europe,Simulated-EU27&UK,25.48583,42.733883
BHR,Bahrain,Western Asia,Asia,Simulated-ROW,50.637772,25.930414000000003
BHS,Bahamas,Caribbean,Americas,Simulated-ROW,-77.39628,25.03428
BIH,Bosnia and Herzegovina,Southern Europe,Europe,Simulated-ROW,17.679076000000002,43.915886
BLR,Belarus,Eastern Europe,Europe,Simulated-ROW,27.953389,53.709807
BLZ,Belize,Central America,Americas,Simulated-ROW,-88.49765,17.189877
BMU,Bermuda,Northern America,Americas,Simulated-ROW,-64.75737,32.321384
BOL,Bolivia,South America,Americas,Simulated-ROW,-63.588653,-16.290154
BRA,Brazil,South America,Americas,Real,-51.92528,-14.235004
BRB,Barbados,Caribbean,Americas,Simulated-ROW,-59.543198,13.193887
BRN,Brunei,South-Eastern Asia,Asia,Simulated-ROW,114.72766899999999,4.535277
BTN,Bhutan,Southern Asia,Asia,Simulated-ROW,90.433601,27.514162
BWA,Botswana,Africa,Africa,Simulated-ROW,24.684866,-22.328474
CAF,Central African Republic,Middle Africa,Africa,Simulated-ROW,20.939444,6.611111
CAN,Canada,Northern America,Americas,Simulated-ROW,-106.34677099999999,56.130366
CHE,Switzerland,Western Europe,Europe,Simulated-ROW,8.227511999999999,46.818188
CHL,Chile,South America,Americas,Simulated-ROW,-71.542969,-35.675146999999996
CHN,China,Eastern Asia,Asia,Real,104.195397,35.86166
CIV,Côte d’Ivoire,Africa,Africa,Simulated-ROW,-5.54708,7.539989
CMR,Cameroon,Middle Africa,Africa,Simulated-ROW,12.354722,7.369722
COD,Congo (DRC),Middle Africa,Africa,Simulated-ROW,21.758664000000003,-4.038333000000001
COG,Congo,Middle Africa,Africa,Simulated-ROW,15.827658999999999,-0.228021
COL,Colombia,South America,Americas,Simulated-ROW,-74.297333,4.570868
COM,Comoros,Africa,Africa,Simulated-ROW,43.872219,-11.875001
CPV,Cabo Verde,Africa,Africa,Simulated-ROW,-24.013197,16.002082
CRI,Costa Rica,Central America,Americas,Simulated-ROW,-83.753428,9.748917
CUB,Cuba,Caribbean,Americas,Simulated-ROW,-77.78116700000001,21.521757
CZE,Czechia,Eastern Europe,Europe,Simulated-EU27&UK,15.472961999999999,49.817492
CYP,Cyprus,Western Asia,Asia,Simulated-EU27&UK,33.429859,35.126413
DEU,Germany,Western Europe,Europe,Simulated-EU27&UK,10.451526,51.165690999999995
DJI,Djibouti,Africa,Africa,Simulated-ROW,42.590275,11.825138
DMA,Dominica,Caribbean,Americas,Simulated-ROW,-61.370976,15.414999
DNK,Denmark,Northern Europe,Europe,Simulated-EU27&UK,9.501785,56.26392
DOM,Dominican Republic,Caribbean,Americas,Simulated-ROW,-70.162651,18.735692999999998
DZA,Algeria,Africa,Africa,Simulated-ROW,1.6596259999999998,28.033886
ECU,Ecuador,South America,Americas,Simulated-ROW,-78.183406,-1.8312389999999998
EGY,Egypt,Africa,Africa,Simulated-ROW,30.802497999999996,26.820553000000004
ERI,Eritrea,Africa,Africa,Simulated-ROW,39.782334000000006,15.179383999999999
ESP,Spain,Southern Europe,Europe,Simulated-EU27&UK,-3.7492199999999998,40.463667
EST,Estonia,Northern Europe,Europe,Simulated-EU27&UK,25.013607,58.595271999999994
ETH,Ethiopia,Africa,Africa,Simulated-ROW,40.489672999999996,9.145
FIN,Finland,Northern Europe,Europe,Simulated-EU27&UK,25.748151,61.92411
