CountryRegionCode,Power,Industry,Domestic Aviation,Ground Transport,Residential,All Sectors
MOZ,0.88,1.83,0,4.73,0.8,8.23
BEN,0.32,1.41,0,6.27,0.1,8.1
ZWE,5.53,1.47,0,2.41,0.97,10.39
MKD,4.6,1.66,0,1.96,0.31,8.53
ALB,0,1.99,0,2.76,0.72,5.47
YEM,3.03,2.51,0,2.39,1.76,9.69
JAM,2.6,2.74,0,1.67,0.33,7.34
BWA,3.55,0.74,0,2.48,0.16,6.93
UGA,0.97,1.55,0.08,2,0.52,5.12
LAO,1.24,5.29,0.01,0.14,0.02,6.69
SLV,1.48,1.13,0,3.12,0.67,6.41
BRN,2.52,2.37,0,1.52,0.14,6.55
NAM,0.1,0.66,0.04,2.17,1.41,4.38
CYP,3.12,1.55,0,1.92,0.59,7.18
NIC,1.71,0.99,0.02,2.29,0.64,5.66
ANT,2.94,0.26,0.04,1.94,0.72,5.9
TJK,0.8,0.62,0,2.57,4.47,8.46
BFA,0.8,0.6,0.06,1.65,0.43,3.55
MDG,1.84,0.59,0.05,1.18,0.46,4.12
ARM,1.54,0.62,0,1.77,1.86,5.79
MRT,0.64,0.72,0.05,1.3,0.34,3.05
PNG,1.29,0.34,0.1,1.79,0.35,3.87
REU,0.68,0.51,0.05,1.4,0.36,3.01
GIN,0.62,0.57,0.05,1.28,0.33,2.86
MUS,2.56,0.37,0.02,1.14,0.22,4.3
HTI,0.97,0.69,0,1.44,0.27,3.38
GAB,0.88,1.35,0,0.84,0.37,3.44
PRI,2.4,1.13,0,0.02,0.26,3.81
NER,0.56,0.25,0,1.36,0.07,2.25
COG,0.5,0.43,0.07,1.55,0.07,2.62
BRB,3.08,0.13,0.01,0.41,0.19,3.81
COD,0.01,0.12,0,2.23,0.01,2.36
BHS,1.21,0.11,0.02,0.8,0.3,2.43
GNQ,0.28,0.76,0.01,0.39,0.1,1.54
SUR,0.86,0.14,0,0.65,0.39,2.05
TGO,0.02,0.79,0,1.75,0.26,2.82
MWI,0.5,0.31,0.02,0.54,0.17,1.54
SLE,0.29,0.3,0.02,0.6,0.15,1.36
ISL,0,0.56,0.02,0.8,0.66,2.04
MTQ,0.93,0.14,0.01,0.62,0.23,1.94
BTN,0.31,1.25,0.01,0.12,0.02,1.71
GLP,0.86,0.2,0.01,0.57,0.21,1.86
LBR,0.26,0.25,0.02,0.53,0.14,1.18
RWA,0.23,0.29,0.02,0.46,0.12,1.12
FJI,0.42,0.18,0.04,0.63,0.09,1.35
PLW,0.44,0.09,0.04,0.67,0.09,1.33
GUY,0.68,0.21,0.01,0.45,0.17,1.52
DJI,0.23,0.21,0.02,0.47,0.12,1.05
MLI,0.1,0.34,0.04,0.3,0.16,0.94
SYC,0.25,0.15,0.02,0.5,0.13,1.05
CPV,0.24,0.14,0.02,0.49,0.13,1.02
SWZ,0.49,0.14,0.01,0.36,0.13,1.14
SOM,0.22,0.13,0.02,0.45,0.12,0.93
MDV,0.3,0.06,0.03,0.45,0.06,0.91
LSO,0.17,0.1,0.01,0.36,0.09,0.75
MLT,0.51,0.02,0,0.34,0.11,0.98
GMB,0.14,0.08,0.01,0.28,0.07,0.58
ABW,0.39,0.03,0.01,0.26,0.1,0.78
PYF,0.2,0.04,0.02,0.3,0.04,0.59
TCD,0.08,0.13,0.01,0.17,0.04,0.43
CAF,0.11,0.07,0.01,0.23,0.06,0.47
GUF,0.29,0.05,0,0.19,0.07,0.61
GNB,0.1,0.06,0.01,0.21,0.05,0.43
ERI,0.38,0.1,0,0.2,0.06,0.74
ATG,0.25,0.02,0,0.17,0.06,0.51
BDI,0.06,0.07,0,0.11,0.03,0.28
GIB,0.19,0,0,0.5,0,0.69
CYM,0.2,0.02,0,0.13,0.05,0.4
ESH,0.07,0.04,0.01,0.14,0.04,0.3
BLZ,0.18,0.02,0,0.12,0.04,0.37
GRL,0.11,0.03,0.02,0.07,0.31,0.53
BMU,0.17,0.02,0,0.11,0.04,0.35
TLS,0.09,0.02,0.01,0.13,0.02,0.26
LCA,0.15,0.01,0,0.1,0.04,0.29
COM,0.05,0.03,0,0.1,0.03,0.21
GRD,0.11,0.01,0,0.07,0.03,0.23
STP,0.04,0.02,0,0.08,0.02,0.16
KNA,0.1,0.01,0,0.06,0.02,0.19
WSM,0.05,0.01,0,0.07,0.01,0.14
SLB,0.04,0.01,0,0.07,0.01,0.13
TON,0.04,0.01,0,0.06,0.01,0.13
VCT,0.07,0.01,0,0.05,0.02,0.14
TCA,0.07,0.01,0,0.04,0.02,0.13
VGB,0.06,0.01,0,0.04,0.01,0.12
VUT,0.03,0.01,0,0.04,0.01,0.08
DMA,0.05,0,0,0.03,0.01,0.1
SPM,0.03,0,0,0.02,0.01,0.06
COK,0.01,0,0,0.02,0,0.04
KIR,0.01,0,0,0.02,0,0.03
FLK,0.02,0,0,0.01,0,0.03
SHN,0,0,0,0.01,0,0.02
AIA,0,0,0,0.02,0,0.02
